"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129550-428,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfant"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3963440_uploaded_image1_1668361934.jpg"""
"1765129550-429,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfant"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3963439_uploaded_image1_1668361869.jpg"""
"1765129550-430,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfant friperie"",""1 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4000087_uploaded_image1_1670513612.jpg"""
"1765129550-431,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Pull enfant friperie"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4000076_uploaded_image2_1670513327.jpeg"""
"1765129550-432,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Maillots Sénégal enfants"",""10 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3991237_uploaded_image1_1670029654.jpg"""
"1765129550-433,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble Robe enfants"",""28 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3990865_uploaded_image1_1670005692.jpg"""
"1765129550-434,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Costume garçon"",""27 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3990863_uploaded_image1_1670005513.jpg"""
"1765129550-435,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Costume garçon"",""28 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3990860_uploaded_image1_1670005358.jpg"""
"1765129550-436,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfant"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3981315_uploaded_image1_1669469071.jpg"""
"1765129550-437,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements Enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3933191_uploaded_image1_1666560773.jpg"""
"1765129550-438,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements friperies  enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3968398_uploaded_image1_1668639636.jpg"""
"1765129550-439,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Maillots Sénégal enfant"",""10 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3954905_uploaded_image1_1667839511.jpg"""
"1765129550-440,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""8 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3913283_uploaded_image1_1665352048.jpg"""
"1765129550-441,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3913279_uploaded_image1_1665351880.jpg"""
"1765129550-442,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensembles pull  enfants"",""4 000CFA"",""Cambérène, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3941399_uploaded_image1_1667092572.jpg"""
"1765129550-443,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Polo pour enfants"",""8 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3883008_uploaded_image1_1663536149.jpg"""
"1765129550-444,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robes  enfant"",""9 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3919617_uploaded_image1_1665702485.jpg"""
"1765129550-445,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfant"",""10 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3919579_uploaded_image1_1665700272.jpg"""
"1765129550-446,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Grenouillères"",""2 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3919556_uploaded_image2_1665704351.jpeg"""
"1765129550-447,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Polos enfants"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3913936_uploaded_image1_1665405195.jpg"""
"1765129550-448,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Grenouillère"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3913465_uploaded_image3_1665377950.jpeg"""
"1765129550-449,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Coffret nouveaux née"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3913427_uploaded_image1_1665364741.jpg"""
"1765129550-450,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble Robe Turquie"",""11 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3913424_uploaded_image1_1665364359.jpg"""
"1765129550-451,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Peignoir bébé"",""9 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3861861_uploaded_image1_1662248159.jpg"""
"1765129550-452,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensembles enfants"",""7 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3899030_uploaded_image1_1664501471.jpg"""
"1765129550-453,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""6 500CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3899029_uploaded_image1_1664501377.jpg"""
"1765129550-454,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Accessoires et vetements bébé"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3858243_uploaded_image1_1662081635.jpg"""
"1765129550-455,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble  3 pièces enfants"",""16 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3895855_uploaded_image1_1664312610.jpg"""
"1765129550-456,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Barboteuse"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3874861_uploaded_image1_1662992831.jpg"""
"1765129550-457,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Pantalon"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3874843_uploaded_image1_1662992214.jpg"""
"1765129550-458,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfant"",""16 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3886071_uploaded_image2_1663709027.jpeg"""
"1765129550-459,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3836735_uploaded_image1_1660867040.jpg"""
"1765129550-460,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3829807_uploaded_image1_1660481871.jpg"""
"1765129550-461,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""5 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3826455_uploaded_image1_1660258744.jpg"""
"1765129550-462,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements bébé fille"",""3 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3871259_uploaded_image1_1662747991.jpg"""
"1765129550-463,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements bébé"",""3 000CFA"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3871253_uploaded_image1_1662747853.jpg"""
"1765129550-464,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfant"",""5 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3818666_uploaded_image1_1659825338.jpg"""
"1765129550-465,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Costumes héros"",""Prix sur demande"",""Almadies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3862904_uploaded_image1_1662326635.jpg"""
"1765129550-466,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe d’anniversaire fille"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3853493_uploaded_image1_1661883220.jpg"""
"1765129550-467,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe d’anniversaire fille"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3853488_uploaded_image1_1661883039.jpg"""
"1765129550-468,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble bandeaux chaussettes"",""1 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3813301_uploaded_image1_1659543149.jpg"""
"1765129550-469,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Barboteuse"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3813274_uploaded_image1_1659542533.jpg"""
"1765129550-470,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Boubou bazin riche"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3808232_uploaded_image1_1659347593.jpg"""
"1765129550-471,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Dessous enfants"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3848809_uploaded_image1_1661581124.jpg"""
"1765129550-472,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements bébé"",""3 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3841152_uploaded_image1_1661173639.jpg"""
"1765129550-473,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements bébé"",""6 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3841108_uploaded_image1_1661172378.jpg"""
"1765129550-474,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfants"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3831624_uploaded_image1_1660600357.jpg"""
"1765129550-475,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Habits enfants"",""3 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg"""
"1765129550-476,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe petite fille"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3785563_uploaded_image1_1657883218.jpg"""
"1765129550-477,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Jeans enfants"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3785562_uploaded_image1_1657883147.jpg"""
"1765129550-478,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfants"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3785559_uploaded_image1_1657883070.jpg"""
"1765129550-479,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Habits enfants"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3785557_uploaded_image1_1657882962.jpg"""
"1765129550-480,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe d'été enfants"",""2 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3825327_uploaded_image1_1660216212.jpg"""
"1765129550-481,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensembles enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3778201_uploaded_image1_1657304423.jpg"""
"1765129550-482,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3775607_uploaded_image1_1657150534.jpg"""
"1765129550-483,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtement enfant"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3799617_uploaded_image1_1658807678.jpg"""
"1765129550-484,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Costume garçon  - 4 pièces"",""27 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3795696_uploaded_image1_1658520434.jpg"""
"1765129550-485,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Maillots Sénégal  enfant"",""10 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3794471_uploaded_image1_1658452420.jpg"""
"1765129550-486,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Protège-tête"",""Prix sur demande"",""Patte d'oie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3794079_uploaded_image1_1658423773.jpg"""
"1765129550-487,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe enfant"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3754887_uploaded_image1_1655981354.jpg"""
"1765129550-488,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe enfant"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3754885_uploaded_image1_1655981294.jpg"""
"1765129550-489,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe enfant"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3754884_uploaded_image1_1655981242.jpg"""
"1765129550-490,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe enfant"",""8 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3754882_uploaded_image1_1655981151.jpg"""
"1765129550-491,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtement enfant"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3753646_uploaded_image1_1655912715.jpg"""
"1765129550-492,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robes enfant"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3753641_uploaded_image1_1655912626.jpg"""
"1765129550-493,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble bébé"",""4 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3768719_uploaded_image1_1656779104.jpg"""
"1765129550-494,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtement enfant"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3786149_uploaded_image1_1657906956.jpg"""
"1765129550-495,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Peignoirs enfants"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3781038_uploaded_image1_1657571200.jpg"""
"1765129550-496,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robes enfants"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3778481_uploaded_image1_1657328456.jpg"""
"1765129550-497,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble peignoir pour enfants"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3735826_uploaded_image1_1654860349.jpg"""
"1765129550-498,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements bébé"",""6 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3768713_uploaded_image1_1656778816.jpg"""
"1765129550-499,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe enfant"",""Prix sur demande"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3761395_uploaded_image3_1656377774.jpeg"""
"1765129550-500,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robe enfant"",""Prix sur demande"",""Keur Massar, Sénégal"",""https://images.coinafrique.com/thumb_3761389_uploaded_image2_1656377165.jpeg"""
"1765129550-501,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Vêtements enfant"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3718353_uploaded_image1_1653956742.jpg"""
"1765129550-502,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Robes enfants"",""15 000CFA"",""Biscuiterie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3758410_uploaded_image1_1656180793.jpg"""
"1765129550-503,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Sous vêtements bébé"",""1 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3715721_uploaded_image1_1653759789.jpg"""
"1765129550-504,""https://sn.coinafrique.com/categorie/vetements-enfants?page=5"",""Ensemble enfants"",""3 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3715720_uploaded_image1_1653759706.jpg"""
"1765129554-505,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtement enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4375129_uploaded_image1_1694610764.jpg"""
"1765129554-506,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements friperies  enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4375124_uploaded_image1_1694610661.jpg"""
"1765129554-507,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Ensemble vêtement enfant"",""15 300CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4340725_uploaded_image1_1692365333.jpg"""
"1765129554-508,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""T-shirt"",""9 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg"""
"1765129554-509,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtement enfant"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4333845_uploaded_image1_1691951676.jpg"""
"1765129554-510,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtement enfants"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4330580_uploaded_image1_1691701473.jpg"""
"1765129554-511,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtement  enfant"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4330576_uploaded_image1_1691701385.jpg"""
"1765129554-512,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtement enfant"",""4 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4327566_uploaded_image1_1691526561.jpg"""
"1765129554-513,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Maillot enfant"",""2 000CFA"",""Thies, Sénégal"",""https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg"""
"1765129554-514,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants"",""2 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4314416_uploaded_image1_1690724018.jpg"""
"1765129554-515,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Couette bébé"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4338195_uploaded_image1_1692223604.jpg"""
"1765129554-516,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Djellaba enfants"",""8 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4288629_uploaded_image1_1688997320.jpg"""
"1765129554-517,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Pyjama bébé"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4316063_uploaded_image2_1690843428.jpeg"""
"1765129554-518,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Culotte Berksha enfant"",""15 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg"""
"1765129554-519,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants"",""8 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4268608_uploaded_image1_1687563200.jpg"""
"1765129554-520,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants"",""8 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4268605_uploaded_image1_1687563103.jpg"""
"1765129554-521,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4267930_uploaded_image1_1687524110.jpg"""
"1765129554-522,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Ensemble pour enfants"",""10 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4267915_uploaded_image1_1687523597.jpg"""
"1765129554-523,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants"",""8 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4266992_uploaded_image1_1687458981.jpg"""
"1765129554-524,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants"",""7 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4265951_uploaded_image1_1687419299.jpg"""
"1765129554-525,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Pantalon en coton"",""6 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4284180_uploaded_image2_1688677380.jpeg"""
"1765129554-526,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Hijab enfant"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4280858_uploaded_image1_1688492406.jpg"""
"1765129554-527,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Robe enfant"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4273754_uploaded_image1_1687981649.jpg"""
"1765129554-528,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Maillots enfants"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4267451_uploaded_image1_1687487532.jpg"""
"1765129554-529,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Sous vêtements   enfants"",""13 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4224162_uploaded_image1_1684629308.jpg"""
"1765129554-530,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements friperie enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4258723_uploaded_image1_1686906445.jpg"""
"1765129554-531,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Ensemble enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4258722_uploaded_image3_1686906376.jpeg"""
"1765129554-532,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Pantalons enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4258717_uploaded_image2_1686906277.jpeg"""
"1765129554-533,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements friperie enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4258716_uploaded_image1_1686906201.jpg"""
"1765129554-534,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements friperie enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4258714_uploaded_image1_1686906133.jpg"""
"1765129554-535,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Maillot enfant"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4236342_uploaded_image1_1685480812.jpg"""
"1765129554-536,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Robes enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4223428_uploaded_image1_1684582026.jpg"""
"1765129554-537,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Robes enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4223425_uploaded_image3_1684581867.jpeg"""
"1765129554-538,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants 3 piéces"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4172007_uploaded_image1_1681208524.jpg"""
"1765129554-539,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Robe enfants"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4168633_uploaded_image1_1680958304.jpg"""
"1765129554-540,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Robe enfants"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4168626_uploaded_image1_1680958148.jpg"""
"1765129554-541,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants Turquie"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4167331_uploaded_image1_1680874307.jpg"""
"1765129554-542,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants Turquie"",""18 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4167321_uploaded_image1_1680873861.jpg"""
"1765129554-543,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtements enfants Turquie"",""20 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4167311_uploaded_image1_1680873676.jpg"""
"1765129554-544,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Vêtement enfant"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4166510_uploaded_image1_1680822103.jpg"""
"1765129554-545,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Survetmemt pour enfants"",""1 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4165543_uploaded_image1_1680781784.jpg"""
"1765129554-546,""https://sn.coinafrique.com/categorie/vetements-enfants?page=4"",""Jeans baladeurs enfant"",""7 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4157493_uploaded_image1_1680338403.jpg"""
