"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129534-44,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfant"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938975_uploaded_image1_1612782982.jpg"""
"1765129534-45,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfants"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938684_uploaded_image1_1612774217.jpg"""
"1765129534-46,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfants"",""2 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938680_uploaded_image1_1612774159.jpg"""
"1765129534-47,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements enfant"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2938653_uploaded_image1_1612773067.jpg"""
"1765129534-48,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensembles enfant"",""Prix sur demande"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2933246_uploaded_image1_1612515788.jpg"""
"1765129534-49,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements enfants"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2925176_uploaded_image1_1612218065.jpg"""
"1765129534-50,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensembles blouson enfants"",""Prix sur demande"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2923009_uploaded_image1_1612168840.jpg"""
"1765129534-51,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble bébé sortie de bain"",""8 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2920795_uploaded_image1_1612023107.jpg"""
"1765129534-52,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensembles blousons"",""Prix sur demande"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2919804_uploaded_image1_1611967516.jpg"""
"1765129534-53,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble bébé"",""4 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2913239_uploaded_image1_1611677309.jpg"""
"1765129534-54,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfant"",""2 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"""
"1765129534-55,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtement enfant"",""3 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2904731_uploaded_image1_1611251346.jpg"""
"1765129534-56,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Tenue mardi gras"",""5 000CFA"",""Saly, Sénégal"",""https://images.coinafrique.com/thumb_2904713_uploaded_image1_1611250923.jpg"""
