"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128885-54,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Jordan 11"",""25 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5147842_uploaded_image1_1737560986.jpg"""
"1765128885-55,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""28 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145861_uploaded_image1_1737475001.jpg"""
"1765128885-56,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Nike"",""15 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145824_uploaded_image1_1737473368.jpg"""
"1765128885-57,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Nike"",""25 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145813_uploaded_image1_1737473121.jpg"""
"1765128885-58,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Nike"",""15 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145720_uploaded_image1_1737470265.jpg"""
"1765128885-59,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Adidas"",""20 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145714_uploaded_image1_1737470139.jpg"""
"1765128885-60,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Puma"",""30 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145706_uploaded_image1_1737469975.jpg"""
"1765128885-61,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""15 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5145643_uploaded_image1_1737467967.jpg"""
"1765128885-62,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Baskets Alexandre McQueen"",""43 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5143550_uploaded_image1_1737371274.jpg"""
"1765128885-63,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5142907_uploaded_image1_1737320376.jpg"""
"1765128885-64,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""15 000CFA"",""Medina, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5141203_uploaded_image1_1737204782.jpg"""
"1765128885-65,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""40 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5138888_uploaded_image1_1737064702.jpg"""
"1765128885-66,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5138404_uploaded_image1_1737043207.jpg"""
"1765128885-67,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Ouest Foire, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5138351_uploaded_image1_1737041315.jpg"""
"1765128885-68,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Berluti"",""25 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5137747_uploaded_image1_1737022857.jpg"""
"1765128885-69,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5136509_uploaded_image1_1736959053.jpg"""
"1765128885-70,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""13 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5135921_uploaded_image1_1736938939.jpg"""
"1765128885-71,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""13 000CFA"",""Diamalaye 1, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5135915_uploaded_image1_1736938739.jpg"""
"1765128885-72,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Adidas"",""17 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5134449_uploaded_image1_1736863836.jpg"""
"1765128885-73,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Timberland"",""25 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5132407_uploaded_image1_1736767718.jpg"""
"1765128885-74,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Baskets New Balance 5530"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5132086_uploaded_image1_1736754624.jpg"""
"1765128885-75,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Airforce 1"",""15 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131864_uploaded_image1_1736723911.jpg"""
"1765128885-76,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Adidas"",""25 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131862_uploaded_image1_1736723850.jpg"""
"1765128885-77,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures Fourcand"",""20 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131860_uploaded_image1_1736723781.jpg"""
"1765128885-78,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""Prix sur demande"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131513_uploaded_image3_1736701278.jpeg"""
"1765128885-79,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Baskets Air Jordan X Travis Scott"",""30 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131158_uploaded_image1_1736681825.jpg"""
"1765128885-80,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5131114_uploaded_image1_1736677616.jpg"""
"1765128885-81,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""5 490CFA"",""Pikine, Sénégal"",""https://images.coinafrique.com/thumb_5128910_uploaded_image1_1736524747.jpg"""
"1765128885-82,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""5 990CFA"",""Pikine, Sénégal"",""https://images.coinafrique.com/thumb_5128903_uploaded_image1_1736524615.jpg"""
"1765128885-83,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Sandales orthopédique Birkenstock"",""26 500CFA"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5085829_uploaded_image1_1733870021.jpg"""
"1765128885-84,""https://sn.coinafrique.com/categorie/chaussures-homme?page=10"",""Chaussures homme"",""18 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5126030_uploaded_image1_1736374708.jpg"""
"1765128888-85,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Baskets New Balance 1000"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5247024_uploaded_image1_1742754677.jpg"""
"1765128888-86,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Baskets Nike Air"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5247013_uploaded_image1_1742754363.jpg"""
