"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128100-81,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4934549_uploaded_image1_1725833490.jpg"""
"1765128100-82,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4945966_uploaded_image1_1726440059.jpg"""
"1765128100-83,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Pantalon kaki"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4945961_uploaded_image1_1726439959.jpg"""
"1765128100-84,""https://sn.coinafrique.com/categorie/vetements-homme?page=10"",""Ensemble  homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_4931918_uploaded_image1_1725659586.jpg"""
"1765128102-85,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""T-shirt coton"",""4 000CFA"",""Damel, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5064122_uploaded_image1_1732708928.jpg"""
"1765128102-86,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Vetement homme  L XL XXL"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017673_uploaded_image1_1730277083.jpg"""
"1765128102-87,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Vètments homme turquie"",""8 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017669_uploaded_image1_1730276939.jpg"""
"1765128102-88,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Blouson homme turquie"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017658_uploaded_image1_1730276517.jpg"""
"1765128102-89,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Vètments Homme turquie"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017674_uploaded_image1_1730277173.jpg"""
"1765128102-90,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme turquie"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017680_uploaded_image1_1730277354.jpg"""
