"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128114-412,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Costume"",""55 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5186410_uploaded_image1_1739572880.jpg"""
"1765128114-413,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Boubous homme"",""850 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5186335_uploaded_image1_1739567861.jpg"""
"1765128114-414,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Pantalon  homme"",""45 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5184663_uploaded_image1_1739469851.jpg"""
"1765128114-415,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Vêtements homme"",""12 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5184001_uploaded_image1_1739445536.jpg"""
"1765128114-416,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Chaussures homme"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5182989_uploaded_image1_1739389601.jpg"""
"1765128114-417,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Sous-vêtements"",""12 500CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5135693_uploaded_image1_1736930542.jpg"""
"1765128114-418,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Dialabe"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5181605_uploaded_image1_1739313945.jpg"""
"1765128114-419,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Polo Boss"",""4 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5180647_uploaded_image1_1739276033.jpg"""
"1765128114-420,""https://sn.coinafrique.com/categorie/vetements-homme?page=6"",""Pull Over"",""8 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5179844_uploaded_image1_1739225129.jpg"""
"1765128118-421,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Vêtements pour homme"",""7 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348768_uploaded_image1_1748394074.jpg"""
"1765128118-422,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Vêtements pour homme"",""7 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348767_uploaded_image1_1748393966.jpg"""
"1765128118-423,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Vêtements pour homme"",""7 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348766_uploaded_image1_1748393850.jpg"""
"1765128118-424,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""10 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5302306_uploaded_image1_1745866564.jpg"""
"1765128118-425,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Costume africain"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348515_uploaded_image1_1748378639.jpg"""
"1765128118-426,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299478_uploaded_image1_1745669665.jpg"""
"1765128118-427,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble  Coton"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299466_uploaded_image1_1745669166.jpg"""
"1765128118-428,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Kaki original"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299455_uploaded_image1_1745668917.jpg"""
"1765128118-429,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Getzner  Gold"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299457_uploaded_image1_1745668962.jpg"""
"1765128118-430,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Getzner  Gold"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299464_uploaded_image1_1745669098.jpg"""
"1765128118-431,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Jogging"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg"""
"1765128118-432,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste  Coton"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299472_uploaded_image1_1745669456.jpg"""
"1765128118-433,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Tissu original"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299471_uploaded_image1_1745669398.jpg"""
"1765128118-434,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Bassin  riche  gold"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5299451_uploaded_image1_1745668861.jpg"""
"1765128118-435,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""T-shirt"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5343507_uploaded_image1_1748092409.jpg"""
"1765128118-436,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5296721_uploaded_image1_1745512439.jpg"""
"1765128118-437,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste Polo"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5296710_uploaded_image1_1745512124.jpg"""
"1765128118-438,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5296703_uploaded_image1_1745511936.jpg"""
"1765128118-439,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Jean homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5296693_uploaded_image1_1745511840.jpg"""
"1765128118-440,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon Kaki"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5296688_uploaded_image1_1745511640.jpg"""
"1765128118-441,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293539_uploaded_image1_1745362320.jpg"""
"1765128118-442,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""T-shirt coton"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293536_uploaded_image1_1745362246.jpg"""
"1765128118-443,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293045_uploaded_image1_1745339481.jpg"""
"1765128118-444,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Polo Lacoste coton"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293055_uploaded_image1_1745339693.jpg"""
"1765128118-445,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293053_uploaded_image1_1745339642.jpg"""
"1765128118-446,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Polo Lacoste coton"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293039_uploaded_image1_1745339437.jpg"""
"1765128118-447,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""T-shirt coton"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293035_uploaded_image1_1745339381.jpg"""
"1765128118-448,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Polo Lacoste"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5293034_uploaded_image1_1745339318.jpg"""
"1765128118-449,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Survêtement"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5338228_uploaded_image1_1747821974.jpg"""
"1765128118-450,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5291974_uploaded_image1_1745276486.jpg"""
"1765128118-451,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Cargo"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5290653_uploaded_image1_1745190381.jpg"""
"1765128118-452,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Sorts Cotton"",""6 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5289187_uploaded_image1_1745069107.jpg"""
"1765128118-453,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Sorts Cotton"",""6 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5289186_uploaded_image1_1745068990.jpg"""
"1765128118-454,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Sorts Cotton"",""6 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5289180_uploaded_image1_1745068870.jpg"""
"1765128118-455,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Sorts  Cotton"",""6 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5289183_uploaded_image1_1745068931.jpg"""
"1765128118-456,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288642_uploaded_image1_1745020935.jpg"""
"1765128118-457,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288640_uploaded_image1_1745020767.jpg"""
"1765128118-458,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""13 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288627_uploaded_image1_1745018950.jpg"""
"1765128118-459,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Chemise coton"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288620_uploaded_image1_1745018525.jpg"""
"1765128118-460,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Chemise coton"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288621_uploaded_image1_1745018609.jpg"""
"1765128118-461,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Polo Lacoste"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5288624_uploaded_image1_1745018786.jpg"""
"1765128118-462,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon homme"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5287996_uploaded_image1_1744980933.jpg"""
"1765128118-463,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble coton 100?"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5287998_uploaded_image1_1744981046.jpg"""
"1765128118-464,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Short cotton"",""7 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5287071_uploaded_image1_1744928407.jpg"""
"1765128118-465,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Shorts cotton 100?"",""3 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5287002_uploaded_image1_1744926217.jpg"""
"1765128118-466,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste coton unique"",""5 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5287008_uploaded_image1_1744926363.jpg"""
"1765128118-467,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""12 000CFA"",""Mbao, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5332144_uploaded_image1_1747438407.jpg"""
"1765128118-468,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Grand boubou homme"",""Prix sur demande"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5331306_uploaded_image1_1747400542.jpg"""
"1765128118-469,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble pantalon"",""15 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5329465_uploaded_image1_1747315368.jpg"""
"1765128118-470,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Chemise  homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283180_uploaded_image1_1744733806.jpg"""
"1765128118-471,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283158_uploaded_image1_1744733308.jpg"""
"1765128118-472,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Polo Lacoste coton"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283163_uploaded_image1_1744733407.jpg"""
"1765128118-473,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""8 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283165_uploaded_image1_1744733455.jpg"""
"1765128118-474,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Jogging"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283169_uploaded_image1_1744733489.jpg"""
"1765128118-475,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble"",""6 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283173_uploaded_image1_1744733580.jpg"""
"1765128118-476,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon Kaki"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283174_uploaded_image1_1744733626.jpg"""
"1765128118-477,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon Kaki"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5283137_uploaded_image1_1744732888.jpg"""
"1765128118-478,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Shorts"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5280463_uploaded_image1_1744590954.jpg"""
"1765128118-479,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""5 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5280460_uploaded_image1_1744590885.jpg"""
"1765128118-480,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Culotte cuissar"",""3 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5280464_uploaded_image1_1744591038.jpg"""
"1765128118-481,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon Jean  homme"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5325030_uploaded_image1_1747102473.jpg"""
"1765128118-482,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble 3 pièces"",""30 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323878_uploaded_image1_1747055928.jpg"""
"1765128118-483,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble grand boubou 3 pièces"",""30 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5323007_uploaded_image1_1747004223.jpg"""
"1765128118-484,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5322236_uploaded_image1_1746952484.jpg"""
"1765128118-485,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""7 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5322231_uploaded_image1_1746952231.jpg"""
"1765128118-486,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277897_uploaded_image1_1744406513.jpg"""
"1765128118-487,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Chemise homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277908_uploaded_image1_1744406926.jpg"""
"1765128118-488,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Jogging homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277911_uploaded_image1_1744407032.jpg"""
"1765128118-489,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Chemise homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277900_uploaded_image1_1744406647.jpg"""
"1765128118-490,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste coton"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277904_uploaded_image1_1744406795.jpg"""
"1765128118-491,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5277891_uploaded_image1_1744406375.jpg"""
"1765128118-492,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Sous vetement cotton 100? douzaine"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276271_uploaded_image1_1744319968.jpg"""
"1765128118-493,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble inusex  turquie roythia"",""8 500CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276217_uploaded_image1_1744316792.jpg"""
"1765128118-494,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""T-shirt 100? cotton"",""4 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276220_uploaded_image1_1744317076.jpg"""
"1765128118-495,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Abaya doubai"",""25 000CFA"",""Sacré-Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5297151_uploaded_image1_1745530268.jpg"""
"1765128118-496,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276113_uploaded_image1_1744312768.jpg"""
"1765128118-497,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276090_uploaded_image1_1744312372.jpg"""
"1765128118-498,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Ensemble homme"",""Prix sur demande"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276110_uploaded_image1_1744312701.jpg"""
"1765128118-499,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pantalon Kaki"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5276085_uploaded_image1_1744312243.jpg"""
"1765128118-500,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Vêtements pour homme"",""12 500CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5263573_uploaded_image1_1743688474.jpg"""
"1765128118-501,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Sous vetement coton"",""1 500CFA"",""Fass, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5256503_uploaded_image1_1743271904.jpg"""
"1765128118-502,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Pulls"",""8 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5291801_uploaded_image1_1745269197.jpg"""
"1765128118-503,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Bazin Riche 3 Pièces"",""70 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5290090_uploaded_image2_1745148278.jpeg"""
"1765128118-504,""https://sn.coinafrique.com/categorie/vetements-homme?page=5"",""Costume africain"",""15 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5289487_uploaded_image2_1745085513.jpeg"""
"1765128122-505,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""T-shirt coton"",""5 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5357415_uploaded_image1_1748904812.jpg"""
"1765128122-506,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Calsson coton"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5362521_uploaded_image1_1749164209.jpg"""
"1765128122-507,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""T-shirt coton"",""4 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5362524_uploaded_image1_1749164390.jpg"""
"1765128122-508,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""T-shirt coton"",""4 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5362523_uploaded_image1_1749164333.jpg"""
"1765128122-509,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Ensemble homme"",""13 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5362519_uploaded_image1_1749164046.jpg"""
"1765128122-510,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""T-shirt coton"",""4 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5362515_uploaded_image1_1749163756.jpg"""
"1765128122-511,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Lacoste coton"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5362512_uploaded_image1_1749163626.jpg"""
"1765128122-512,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Ensemble"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5355513_uploaded_image1_1748816312.jpg"""
"1765128122-513,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Ensemble homme"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5355495_uploaded_image1_1748815778.jpg"""
"1765128122-514,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Ensemble homme"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5355482_uploaded_image1_1748815370.jpg"""
"1765128122-515,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5342589_uploaded_image1_1748032420.jpg"""
"1765128122-516,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Sous-vêtements coton"",""4 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5342579_uploaded_image1_1748031848.jpg"""
"1765128122-517,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Kaki"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5330135_uploaded_image1_1747337609.jpg"""
"1765128122-518,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Culotte"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5330133_uploaded_image1_1747337550.jpg"""
"1765128122-519,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Jean homme"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5330130_uploaded_image1_1747337463.jpg"""
"1765128122-520,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Ensemble homme"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348419_uploaded_image1_1748373207.jpg"""
"1765128122-521,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Cargo"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348426_uploaded_image1_1748373420.jpg"""
"1765128122-522,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Jeans homme"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348424_uploaded_image1_1748373374.jpg"""
"1765128122-523,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Babouche hommes"",""10 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5348408_uploaded_image1_1748372963.jpg"""
"1765128122-524,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""T-shirt coton"",""5 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5329860_uploaded_image1_1747329043.jpg"""
"1765128122-525,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Lacoste homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5329857_uploaded_image1_1747328991.jpg"""
"1765128122-526,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Chemise homme"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5339081_uploaded_image1_1747848546.jpg"""
"1765128122-527,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Getzner Super Manium gold original"",""12 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5329829_uploaded_image1_1747328462.jpg"""
"1765128122-528,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Jeans"",""9 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5352603_uploaded_image1_1748628451.jpg"""
"1765128122-529,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Lacoste"",""6 500CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5339063_uploaded_image1_1747848156.jpg"""
"1765128122-530,""https://sn.coinafrique.com/categorie/vetements-homme?page=4"",""Ensemble"",""13 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5352605_uploaded_image1_1748628506.jpg"""
